right,left,kappa
659,650,60
644,660,60
633,650,60
653,631,60
649,624,60
621,618,60
607,609,60
597,602,60
606,595,60
588,594,60
600,589,60
583,587,60
579,570,60
571,572,60
569,565,60
560,553,60
557,542,60
551,541,60
536,541,60
536,533,60
525,523,60
530,511,60
508,500,60
504,502,60
493,484,60
497,489,60
486,485,60
474,473,60
469,460,60
457,447,60
457,443,60
450,442,60
444,424,60
430,425,60
426,413,60
419,407,60
403,396,60
398,385,60
396,386,60
385,371,60
376,365,60
365,358,60
365,349,60
350,341,60
348,338,60
335,325,60
326,316,60
321,311,60
309,305,60
297,289,60
293,285,60
284,276,60
273,266,60
265,257,60
258,251,60
250,239,60
237,230,60
228,221,60
219,216,60
210,205,60
200,199,60
192,187,60
180,178,60
174,173,60
164,165,60
154,157,60
147,148,60
138,143,60
127,134,60
120,121,60
106,112,60
101,103,60
92,99,60
81,85,60
72,79,60
67,70,60
53,61,60
50,53,60
40,42,60
