right,left
644,660
644,645
637,631
623,634
644,620
609,618
615,601
614,619
602,607
604,604
594,600
592,584
600,586
571,577
587,568
575,556
573,563
557,555
552,552
551,544
534,536
541,524
528,526
523,517
532,517
517,513
497,508
513,498
513,491
486,493
492,480
483,475
476,470
465,464
466,456
453,447
451,447
445,435
442,427
424,426
427,418
418,418
421,405
413,396
395,392
395,381
386,378
379,374
376,364
368,359
355,350
353,346
343,340
341,330
333,321
322,316
318,308
308,300
298,295
296,288
289,276
283,271
273,261
267,253
259,246
251,240
246,231
233,221
227,216
223,205
212,198
206,192
200,184
191,179
180,167
176,161
166,157
162,151
151,143
144,133
135,126
130,116
118,115
113,102
